"Years: 1988 - 2024"
"1687 Projects Found"
"Project Number",URL,Title,"SARE Funds",Region,"Project Type",State,"Project Year","Grant Recipient Organization"
FNE21-990,https://projects.sare.org/sare_project/FNE21-990,"Development of a De-watering System and Cost Analysis to Transform Fish Waste from Recirculating Aquaculture Systems into Value Added Garden Compost","14,963.00",Northeast,Farmer/Rancher,ME,2021,"Aroostook Band of Micmacs"
FNC07-686,https://projects.sare.org/sare_project/FNC07-686,"Supporting the Environment and Healthy Food for Latino Markets","15,410.00","North Central",Farmer/Rancher,MN,2007,
LNC97-123,https://projects.sare.org/sare_project/LNC97-123,"Yesterday's Research for Tomorrow's Needs","63,500.00","North Central","Research and Education",KS,1997,
LNE10-295,https://projects.sare.org/sare_project/LNE10-295,"Reducing plastic mulch use by expanding adoption of cover-crop-based no-till systems for vegetable producers","144,962.00",Northeast,"Research and Education",PA,2010,
YENC15-089,https://projects.sare.org/sare_project/YENC15-089,"Junior Farm Crew","1,992.00","North Central","Youth Educator",MO,2015,EarthDance
FNC16-1044,https://projects.sare.org/sare_project/FNC16-1044,"Field Testing The Mulberry for Commercial Production in the Midwest","7,481.00","North Central",Farmer/Rancher,OH,2016,"Solid Ground Farm"
SKY16-001,https://projects.sare.org/sare_project/SKY16-001,"2016-2017 Model State Program University of Kentucky","11,111.00",Southern,"PDP State Program",KY,2016,"University of Kentucky"
GNE17-157,https://projects.sare.org/sare_project/GNE17-157,"Full-diet farming: A case study of an alternative model for community-supported agriculture","14,171.00",Northeast,"Graduate Student",VT,2017,"University of Vermont"
FNC20-1230,https://projects.sare.org/sare_project/FNC20-1230,"Medicinal Root Production for Small Scale Agriculture","3,370.00","North Central",Farmer/Rancher,KS,2020,"Sacred Sun Farm"
ONE20-378,https://projects.sare.org/sare_project/ONE20-378,"Improving Access to Soil Carbon Proxy Testing: Training Educators to Monitor Soil Health","29,266.00",Northeast,"On Farm Research/Partnership",MA,2020,NOFA/Mass
FW22-392,https://projects.sare.org/sare_project/FW22-392,"Assessing the economic and social viability of transitioning to Winter CSA production as an adaptation strategy to climate change impacts","24,950.00",Western,Farmer/Rancher,CA,2022,"Red H Farm"
FW23-433,https://projects.sare.org/sare_project/FW23-433,"Assessing the economic and social viability of transitioning to Winter CSA production as an adaptation strategy to climate change - Seasons 2 and 3","24,600.00",Western,Farmer/Rancher,CA,2023,"Red H Farm"
WRGR23-006,https://projects.sare.org/sare_project/WRGR23-006,"FACTS - ""Farmers Addressing Challenges through Training and Science""","100,000.00",Western,"Local Ed &amp; Demo (formerly RGR)",CO,2023,GoFarm
GNC12-147,https://projects.sare.org/sare_project/GNC12-147,"Estimation of Soil N Availability for Tomato Production in High Tunnel vs. Open Field under Organic and Conventional Management","10,000.00","North Central","Graduate Student",KS,2012,"Kansas State University"
LNE09-285,https://projects.sare.org/sare_project/LNE09-285,"Nutrient management on organic vegetable farms: A research and education program for sustainable soil fertility management in southern New England","148,375.00",Northeast,"Research and Education",MA,2009,
MW16-005,https://projects.sare.org/sare_project/MW16-005,"Deploying SOAP's Hot Shot Team to Identified Hot Spot Locations to Advance Susatinable and Organic Agriculture Practices in Hawaii","24,750.00",Western,"Enhanced State Grants",HI,2016,"University of Hawaii"
SGA18-001,https://projects.sare.org/sare_project/SGA18-001,SGA18-001,"40,000.00",Southern,"PDP State Program",GA,2018,"University of Georgia"
LS97-084,https://projects.sare.org/sare_project/LS97-084,"Regionally Centered Sustainable Agriculture System","173,240.00",Southern,"Research and Education",VA,1997,
OS13-083,https://projects.sare.org/sare_project/OS13-083,"Grafting heirloom tomatoes for organic high tunnel production to improve season extension, disease control, and fruit yield: A partnership with local growers for technology transfer","14,999.00",Southern,"On Farm Research/Partnership",FL,2013,
FNE99-243,https://projects.sare.org/sare_project/FNE99-243,"Compost Planting Pots",700.00,Northeast,Farmer/Rancher,CT,1999,
SW09-053,https://projects.sare.org/sare_project/SW09-053,"Harnessing the Sun for On-farm Fertilizer Production","159,023.00",Western,"Research and Education",CO,2009,
AS93-007,https://projects.sare.org/sare_project/AS93-007,"Evaluation of Recycled Paper Mulch as an Alternative to Black Plastic Mulch in Vegetable Horticulture",,Southern,"Research and Education",VA,1993,
CS12-087,https://projects.sare.org/sare_project/CS12-087,"Fighting Obesity in Schools By Changing Eating Habits of Students","10,000.00",Southern,"Sustainable Community Innovation",SC,2012,
FNC95-093,https://projects.sare.org/sare_project/FNC95-093,"Composting Poultry and Swine Carcasses","4,926.00","North Central",Farmer/Rancher,IN,1995,
GNE15-105,https://projects.sare.org/sare_project/GNE15-105,"Local and regional food systems, soil phosphorus, and resilience in a northeastern regional farmers’ market network","14,796.00",Northeast,"Graduate Student",PA,2015,"Penn State"
GS00-003,https://projects.sare.org/sare_project/GS00-003,"Resilience of Nitrogen Availability and Retention in Soils of Kentucky Certified Organic Farms","6,900.00",Southern,"Graduate Student",KY,2000,
LNE95-062,https://projects.sare.org/sare_project/LNE95-062,"Managing Dairy Waste Using Constructed Wetlands - Composting","110,305.00",Northeast,"Research and Education",MD,1995,
FNE18-894,https://projects.sare.org/sare_project/FNE18-894,"Improving Compacted Soils with Stropharia Mushrooms","13,081.00",Northeast,Farmer/Rancher,NY,2018,"Brady Farm"
GW19-201,https://projects.sare.org/sare_project/GW19-201,"A Hawaiʻi Soil Health Index to Guide Farmer Adoption of Sustainable Management Practices","23,036.00",Western,"Graduate Student",HI,2019,"University of Hawaii at Manoa"
WSP19-022,https://projects.sare.org/sare_project/WSP19-022,"2020 Idaho Western SARE Professional Development State Program","28,636.00",Western,"PDP State Program",ID,2019,"University of Idaho, Extension"
ONE19-343,https://projects.sare.org/sare_project/ONE19-343,"Anaerobic Soil Disinfestation to Control Soilborne Pathogen Rhizoctonia solani in Vermont Field Conditions","30,000.00",Northeast,"On Farm Research/Partnership",VT,2019,"University of Vermont"
FNE04-524,https://projects.sare.org/sare_project/FNE04-524,"Investigating the Effect of Banded Compost on Yield in Winter Barley","9,298.00",Northeast,Farmer/Rancher,NY,2004,
FNC06-619,https://projects.sare.org/sare_project/FNC06-619,"Microclimate Enhanced Movable High Tunnel with Retractable Top","5,992.00","North Central",Farmer/Rancher,KS,2006,
FNC07-694,https://projects.sare.org/sare_project/FNC07-694,"Nutritional Values of Hmong Plants and Herbs","6,000.00","North Central",Farmer/Rancher,MN,2007,
FNC12-896,https://projects.sare.org/sare_project/FNC12-896,"An Internship Curriculum for Food Farmers in the North Central Region","22,319.00","North Central",Farmer/Rancher,IN,2012,
FNE94-070,https://projects.sare.org/sare_project/FNE94-070,"Organic ""Bag Culture"" of Greenhouse Peppers","5,000.00",Northeast,Farmer/Rancher,MA,1994,
LNE08-276,https://projects.sare.org/sare_project/LNE08-276,"On-Farm Training and Participatory Learning: Biologically-based IPM an sustainable Farming Practices for Amish and Mennonite Vegetable Growers","143,991.00",Northeast,"Research and Education",PA,2008,
OW13-043,https://projects.sare.org/sare_project/OW13-043,"Extension of Local Food Production in Idaho Using High Tunnel Technology","49,999.00",Western,"On Farm Research/Partnership",ID,2013,
SW00-042,https://projects.sare.org/sare_project/SW00-042,"Exploration and Implementation of Sustainable Ag Practices and Outreach on the Fort Hall Indian Reservation for the Protection of Groundwater","103,913.00",Western,"Research and Education",ID,2000,
SW14-026,https://projects.sare.org/sare_project/SW14-026,"High nutrient solution fertilizers derived from local organic inputs for field and greenhouse application in the tropics","170,466.34",Western,"Research and Education",HI,2014,
FNC20-1212,https://projects.sare.org/sare_project/FNC20-1212,"Traditional Tribal Growing Practices for Integrated Pest Management","27,000.00","North Central",Farmer/Rancher,WI,2020,"Member of Oneida Nation of Wisconsin"
WPDP21-030,https://projects.sare.org/sare_project/WPDP21-030,"Visualizing Microbial Agroecology","100,000.00",Western,"Professional Development Program",WA,2021,"Washington State University"
FNC22-1320,https://projects.sare.org/sare_project/FNC22-1320,"Feasibility of Hoop House Technology for Specialty Crops","29,982.00","North Central",Farmer/Rancher,MN,2022,"Forty Acre Cooperative"
FNE04-533,https://projects.sare.org/sare_project/FNE04-533,"Study of the Effects of Cover Crop and Composting Schedules","3,175.00",Northeast,Farmer/Rancher,NY,2004,
FNE10-677,https://projects.sare.org/sare_project/FNE10-677,"Soil and Plant  Properties in Cardboard Mulch Prepared No-Till Beds","6,107.00",Northeast,Farmer/Rancher,MA,2010,
YENC12-042,https://projects.sare.org/sare_project/YENC12-042,"ND Western 4-H Camp SARE Garden","1,998.00","North Central","Youth Educator",ND,2012,
FNE17-864,https://projects.sare.org/sare_project/FNE17-864,"Building soil fertility with spent  brewers grains","11,272.00",Northeast,Farmer/Rancher,ME,2017,"Full Fork Farm"
FS21-331,https://projects.sare.org/sare_project/FS21-331,"Successional Mushroom Production: Farming Multiple Species of Mushrooms on One Substrate to Lower Input Cost, and Increase Revenue and Products Sold","10,780.00",Southern,Farmer/Rancher,TN,2021,Henosis
FW22-397,https://projects.sare.org/sare_project/FW22-397,"Determining if Comfrey Fermented Plant Juice is a viable alternative to traditional purchased fertilizers","24,963.00",Western,Farmer/Rancher,OR,2022,"Rainshadow Organics"
ANE96-030,https://projects.sare.org/sare_project/ANE96-030,"Working Toward Implementation of a Disease Forecasting System for Fresh Market Tomatoes in Northern New Jersey",,Northeast,"Research and Education",NJ,1996,
AS92-005,https://projects.sare.org/sare_project/AS92-005,"Effects of Sustainable and Conventional Agriculture on Farm Wildlife",,Southern,"Research and Education",NC,1992,
ENE06-101,https://projects.sare.org/sare_project/ENE06-101,"Tactical Agriculture (TAg) Train the Trainer Workshop","24,225.00",Northeast,"Professional Development Program",NY,2006,
FNE03-500,https://projects.sare.org/sare_project/FNE03-500,"Continuation of an On-Farm Comparison of Fertility Treatments on One Sweet Corn Variety Planted and Harvested at Two Different Times During the Season.","1,960.00",Northeast,Farmer/Rancher,PA,2003,
FW00-278,https://projects.sare.org/sare_project/FW00-278,"Internet Marketing of Organically Grown Wyoming Gourmet Garlic","3,930.00",Western,Farmer/Rancher,WY,2000,
GNC02-006,https://projects.sare.org/sare_project/GNC02-006,"Determining Genotypic and Pathogenic Diversity Among Phytophthora Capsici Isolates for Establishing Sustainable Cropping Rotations","10,000.00","North Central","Graduate Student",IL,2002,"University of Illinois"
GNC02-011,https://projects.sare.org/sare_project/GNC02-011,"Integrating Cover Crops into Blueberry Production for Sustainable Japanese Beetle Control","10,000.00","North Central","Graduate Student",MI,2002,
GNC07-082,https://projects.sare.org/sare_project/GNC07-082,"Demonstration of a sustainable method of Beauveria bassiana delivery for use against plum curculio","9,822.00","North Central","Graduate Student",MI,2007,"Michigan State University"
GNC10-135,https://projects.sare.org/sare_project/GNC10-135,"Integration of Biological Control and Native Cover Crops for Canada Thistle Control","10,000.00","North Central","Graduate Student",ND,2010,"North Dakota State University"
GS04-033,https://projects.sare.org/sare_project/GS04-033,"Impact of Potential Organic Pesticides and Potential Fruit Crop Load Regulators on Photosynthesis and Growth of Apple","10,000.00",Southern,"Graduate Student",AR,2004,"University of Arkansas"
LNC06-272,https://projects.sare.org/sare_project/LNC06-272,"Evaluating Corn Varieties in Pure and Mixed Stands for Organic Crop Production across Three States in the Corn Belt","138,252.00","North Central","Research and Education",OH,2006,
LNC07-284,https://projects.sare.org/sare_project/LNC07-284,"Implementing biointensive pest management and evaluating hard cider manufacturing to increase sustainability of apple production","129,427.00","North Central","Research and Education",IA,2007,
LNC13-355,https://projects.sare.org/sare_project/LNC13-355,"Tomato Grafting: Developing Grower Recommendations for the Great Plains and Enhancing Our Understanding of the “Rhizobiome”","158,516.00","North Central","Research and Education",KS,2013,"Kansas State University"
LNC14-362,https://projects.sare.org/sare_project/LNC14-362,"Cover Crops and Strip Tillage to Promote Soil Quality, Environmental Sustainability, Food Safety, and Profitability in Cucurbit Cropping Systems","198,353.00","North Central","Research and Education",IA,2014,"Iowa State University"
LNC99-150.1,https://projects.sare.org/sare_project/LNC99-150.1,"Development of Sustainable Practices for Integrated Management of Apple Diseases","65,837.00","North Central","Research and Education",WI,1999,
LNE96-072,https://projects.sare.org/sare_project/LNE96-072,"Sustaining Grape Production in the Northeast through Farm-tested Information Technologies","147,943.00",Northeast,"Research and Education",PA,1996,
LNE97-090,https://projects.sare.org/sare_project/LNE97-090,"Integrating High-Density Orchards and Biointensive Integrated Pest Management Methods in Northeastern Apple Production","121,535.00",Northeast,"Research and Education",MA,1997,
LNE98-106,https://projects.sare.org/sare_project/LNE98-106,"Biological Control for Soil-Dwelling Insects - Diseases in Strawberries","147,557.00",Northeast,"Research and Education",CT,1998,
LS04-161,https://projects.sare.org/sare_project/LS04-161,"Evaluation of Beneficial Insect Habitat for Organic Farms","72,539.00",Southern,"Research and Education",NC,2004,
